num,name,manufacturer,speed,glide,turn,fade,discraft rating,type
1,baobab,agl,4,0,1,3,,mid
2,beech,agl,5,2,0,3,,mid
3,cedar,agl,11,5,0,3,,distance
4,locust,agl,9,4,-1,3,,distance
5,madone,agl,3,3,0,1,,putter
6,magnolia,agl,5,5,0,2,,mid
7,manzanita,agl,3,3,0,2,,putter
8,ponderosa,agl,3,4,-2,0,,putter
9,sycamore,agl,7,5,0,1,,fairway
10,alias,axiom,4,4,-1,1,,mid
11,clash,axiom,6.5,4,-1,2,,fairway
12,crave,axiom,6.5,5,-1,1,,fairway
13,defy,axiom,11,5,-1,3,,distance
14,envy,axiom,3,3,0,2,,putter
15,excite,axiom,14.5,5.5,-2,2,,distance
16,fireball,axiom,9,3.5,0,3.5,,distance
17,hex,axiom,5,5,-1,1,,mid
18,insanity,axiom,9,5,-1,1,,distance
19,inspire,axiom,6.5,5,-1.5,1,,fairway
20,mayhem,axiom,13,5,-1.5,2,,distance
21,panic,axiom,13,4,-0.5,3,,distance
22,paradox,axiom,5,4,-4,0,,mid
23,proxy,axiom,3,3,-1,0.5,,putter
24,pyro,axiom,5,4,0,2.5,,mid
25,tantrum,axiom,14,5,-1.5,3,,distance
26,tenacity,axiom,13,5,-2.5,2,,distance
27,theory,axiom,4,4,-1.5,1,,mid
28,thrill,axiom,11,4,0,3.5,,distance
29,vanish,axiom,11,5,-3,2,,distance
30,virus,axiom,9,5,-3.5,1,,distance
31,wrath,axiom,9,4.5,-0.5,2,,distance
32,aftershock,dga,5,4,0,2,,mid
33,banzai,dga,8,4,0,3,,fairway
34,blowfly 1,dga,2,2,0,2,,putter
35,blowfly 2,dga,2,2,0,2,,putter
36,breaker,dga,3,3,0,3,,putter
37,hellfire,dga,10,2,0,5,,distance
38,hurricane,dga,12,5,-1,3,,distance
39,hypercane,dga,13,4,0,4,,distance
40,pipeline,dga,8,5,0,2,,fairway
41,quake,dga,5,3,0,3,,mid
42,reef,dga,2,2,-1,1,,putter
43,rift,dga,5,4,-1,1.5,,mid
44,rogue,dga,11,4,-1,1,,distance
45,sail,dga,11,5,-4,1,,distance
46,squall,dga,6,4,-1,1,,fairway
47,steady,dga,2,3,0,2,,putter
48,steady bl,dga,2,4,0,2,,putter
49,tempest,dga,13,5,-3,2,,distance
50,titanic,dga,2,2,0,2,,putter
51,torrent,dga,14,5,-1,2,,distance
52,tremor,dga,6,5,-4,1,,fairway
53,undertow,dga,10,4,-1,1,,distance
54,vortex,dga,7,6,-2,1,,fairway
55,astronaut,discmania,12,6,-4,1,,distance
56,cd,discmania,10,5,-1,2,,distance
57,cd2,discmania,9,5,-1,2,,distance
58,cd3,discmania,12,5,-1,3,,distance
59,dd3,discmania,12,5,-1,3,,distance
60,ddx,discmania,12,6,-1,2,,distance
61,enigma,discmania,12,5,-1,2,,distance
62,essence,discmania,8,6,-2,1,,fairway
63,fd,discmania,7,6,0,1,,fairway
64,fd2,discmania,7,4,0,2,,fairway
65,fd3,discmania,9,4,0,3,,distance
66,genius,discmania,7,5,-4,1,,fairway
67,instinct,discmania,7,5,0,2,,fairway
68,link,discmania,2,3,0,1,,putter
69,logic,discmania,3,3,0,1,,putter
70,maestro,discmania,4,3,0,2,,mid
71,magician,discmania,6,4,0,2,,fairway
72,majesty,discmania,13,5,-2,2,,distance
73,md,discmania,4,5,0,0,,mid
74,md1,discmania,5,6,0,0,,mid
75,md3,discmania,5,5,0,1,,mid
76,md4,discmania,5,4,0,3,,mid
77,md5,discmania,5,3,0,4,,mid
78,mentor,discmania,11,5,-2,2,,distance
79,method,discmania,5,5,0,4,,mid
80,mutant,discmania,5,3,0,4,,mid
81,origin,discmania,5,5,-1,1,,mid
82,p1,discmania,2,3,0,0,,putter
83,p1x,discmania,2,3,0,0,,putter
84,p2,discmania,2,3,0,1,,putter
85,p3x,discmania,3,2,0,3,,putter
86,pd,discmania,10,4,0,3,,distance
87,pd2,discmania,12,4,0,4,,distance
88,pd3,discmania,11,3,0,5,,distance
89,rainmaker,discmania,2,3,0,0.5,,putter
90,razor claw,discmania,4,2,0,4,,mid
91,rockstar,discmania,8,5,-2,1,,fairway
92,sensei,discmania,3,3,0,1,,putter
93,shogun,discmania,2,4,0,2,,putter
94,splice,discmania,9,3,0,4,,distance
95,tactic,discmania,4,2,0,3,,mid
96,td,discmania,10,5,-2,1,,distance
97,td,discmania,10,5,-2,1,,distance
98,tilt,discmania,9,1,1,6,,distance
99,anax,discraft,10,6,0,3,1.9,distance
100,apx,discraft,2,2,-1,1,0.0,putter
101,archer,discraft,5,4,-4,1,-0.5,mid
102,avenger,discraft,10,5,0,3,1.8,distance
103,avenger ss,discraft,10,5,-3,1,0.5,distance
104,buzzz,discraft,5,4,-1,1,0.5,mid
105,buzzz os,discraft,5,4,0,3,1.7,mid
106,buzzz ss,discraft,5,4,-2,1,0.0,mid
107,captains raptor,discraft,9,3,1,4,2.4,distance
108,challenger,discraft,2,3,0,2,1.0,putter
109,challenger os,discraft,2,3,0,3,1.7,putter
110,challenger ss,discraft,2,3,-1,2,0.7,putter
111,comet,discraft,4,5,-2,1,0.0,mid
112,crank,discraft,13,5,-2,2,1.3,distance
113,crank ss,discraft,13,5,-3,2,0.7,distance
114,drone,discraft,5,3,1,4,2.5,mid
115,fierce,discraft,3,4,-2,0,0.0,putter
116,flick,discraft,12,3,1,5,2.5,distance
117,focus,discraft,2,2,-1,2,0.5,putter
118,force,discraft,12,5,0,3,2.0,distance
119,glide,discraft,6,5,-3,1,-0.5,fairway
120,hades,discraft,12,6,-3,2,1.0,distance
121,heat,discraft,9,6,-3,1,0.0,distance
122,impact,discraft,6,6,-3,1,0.0,fairway
123,luna,discraft,3,3,0,3,1.0,putter
124,machete,discraft,11,4,0,4,2.2,distance
125,magnet,discraft,2,3,-1,1,0.0,putter
126,malta,discraft,5,4,1,3,1.9,mid
127,mantis,discraft,8,4,-2,2,0.8,fairway
128,meteor,discraft,5,5,-3,1,-0.5,mid
129,nuke,discraft,13,5,-1,3,1.6,distance
130,nuke os,discraft,13,4,0,4,2.2,distance
131,nuke ss,discraft,13,5,-3,3,1.0,distance
132,passion,discraft,8,5,-1,1,1.0,fairway
133,predator,discraft,9,4,1,4,2.5,distance
134,raptor,discraft,9,4,0,3,2.1,distance
135,ringer,discraft,4,4,0,2,1.5,mid
136,ringer gt,discraft,4,4,0,3,1.7,mid
137,roach,discraft,2,4,0,1,0.0,putter
138,scorch,discraft,11,6,-2,2,0.5,distance
139,sol,discraft,4,5,-3,0,-0.5,mid
140,stalker,discraft,7,5,-1,2,1.1,fairway
141,sting,discraft,7,5,-2,1,0.0,fairway
142,stratus,discraft,5,4,-4,1,-1.0,mid
143,surge,discraft,11,5,-1,3,1.7,distance
144,surge ss,discraft,11,5,-2,2,1.5,distance
145,thrasher,discraft,12,5,-3,2,0.4,distance
146,undertaker,discraft,9,5,-1,2,1.4,distance
147,vulture,discraft,10,5,0,2,1.7,distance
148,wasp,discraft,5,3,0,2,1.5,mid
149,zeus,discraft,12,5,-1,3,1.9,distance
150,zombee,discraft,6,5,-1,1,1.0,fairway
151,zone,discraft,4,3,0,3,2.0,mid
152,bounty,dynamic,4,5,-1.5,0.5,,mid
153,breakout,dynamic,8,5,-1,1.5,,fairway
154,captain,dynamic,3,5,-2,2,,putter
155,convict,dynamic,9,4,-0.5,3,,distance
156,criminal,dynamic,10,3,1,3,,distance
157,defender,dynamic,13,5,3,,,distance
158,deputy,dynamic,3,4,-1.5,0,,putter
159,emac judge,dynamic,2,4,0,1,,putter
160,emac truth,dynamic,5,5,0,2,,mid
161,enforcer,dynamic,12,5,0.5,4,,distance
162,escape,dynamic,9,5,-1,2,,distance
163,evader,dynamic,7,4,0,2.5,,fairway
164,evidence,dynamic,5,5,-1,0,,mid
165,felon,dynamic,9,3,0,4,,distance
166,freedom,dynamic,14,5,-3,3,,distance
167,gavel,dynamic,3,5,-2,0.5,,putter
168,getaway,dynamic,9,5,-0.5,3,,distance
169,guard,dynamic,3,5,0,0.5,,putter
170,judge,dynamic,2,4,0,1,,putter
171,justice,dynamic,5,1,0.5,4,,mid
172,justice,dynamic,5,1,0.5,4,,mid
173,marshal,dynamic,3,4,0,1,,putter
174,maverick,dynamic,7,4,-1.5,2,,fairway
175,patrol,dynamic,5,5,-2,0,,mid
176,proof,dynamic,5,6,-3,1,,mid
177,raider,dynamic,13,5,-0.5,3,,distance
178,renegade,dynamic,11,5,-1.5,2.5,,distance
179,sergeant,dynamic,11,4,0,2.5,,distance
180,sheriff,dynamic,13,5,-1,2,,distance
181,slammer,dynamic,3,2,0,3,,putter
182,suspect,dynamic,4,3,0,0,,mid
183,thief,dynamic,8,5,-1.5,2,,fairway
184,trespass,dynamic,12,5,-0.5,3,,distance
185,truth,dynamic,5,5,-1,1,,mid
186,vandal,dynamic,9,5,-1.5,2,,distance
187,verdict,dynamic,5,4,0,3.5,,mid
188,warden,dynamic,2,4,0,0.5,,putter
189,warrant,dynamic,5,5,-2,0,,mid
190,witness,dynamic,8,6,-3,1.0,,fairway
191,binx,elevation,8,5,0,1,,fairway
192,interceptor,elevation,5,3,0,3,,mid
193,koi,elevation,3,4,-1,0,,putter
194,mobius,ev-7,2,4,-1,0,,putter
195,penrose,ev-7,2,4,0,2,,putter
196,phi,ev-7,3,4,0,1,,putter
197,apache,gateway,10,6,0,2,,distance
198,apex,gateway,11.5,6,-1,1.5,,distance
199,assassin,gateway,9,6,-1.5,1,,distance
200,blade,gateway,9,5,0,3,,distance
201,blaze,gateway,7,5,0,3,,fairway
202,cheif os,gateway,3,3,0,1,,putter
203,chief,gateway,3,3,0,0.5,,putter
204,demon,gateway,6,4,0,4,,fairway
205,devil hawk,gateway,3,3,0,4,,putter
206,diablo,gateway,9,5,-0.5,2,,distance
207,element,gateway,5,5,-1,1,,mid
208,illusion,gateway,12,5,-0.5,2.5,,distance
209,journey,gateway,11.5,6,-2,1,,distance
210,magic,gateway,2,3,-1.5,0,,putter
211,mystic,gateway,5,5,-3,0,,mid
212,ninja,gateway,10,6,-1,2,,distance
213,prophecy,gateway,5,5,0,2,,mid
214,sabre,gateway,7,6,-1,1,,fairway
215,samurai,gateway,12.5,5,-2,1,,distance
216,shaman,gateway,3,3,-1,0,,putter
217,slayer,gateway,12.5,5,-1,2,,distance
218,spear,gateway,9,6,-2,1,,distance
219,spirit,gateway,12,4,0,4,,distance
220,voodoo,gateway,2,3,0,0,,putter
221,warlock,gateway,2,3,0,1,,putter
222,warrior,gateway,5,4,0,3,,mid
223,wizard,gateway,2,3,0,2,,putter
224,marksman,hyzerbomb,9,4,-1,2,,distance
225,moab,hyzerbomb,6,4,1,5,,fairway
226,mortar,hyzerbomb,5,4,0,3,,mid
227,sabot,hyzerbomb,11,4,0,5,,distance
228,tank,hyzerbomb,2,2,0,2,,putter
229,veteran,hyzerbomb,7,4,0,1,,fairway
230,alpaca,infinite,3,3,0,1,,putter
231,anubis,infinite,5,5,0,0,,mid
232,aztec,infinite,10,5,-1,2,,distance
233,centurion,infinite,7,5,-1,1.5,,fairway
234,chariot,infinite,5,5,0,1,,mid
235,cohort,infinite,3.5,4,0,1,,putter
236,dynasty,infinite,9,5,-1,2,,distance
237,emperor,infinite,12,5,-1,2.5,,distance
238,exodus,infinite,7,5,-0.5,2,,fairway
239,inca,infinite,5,5,0,3,,mid
240,kon tiki,infinite,4,5,-3,0,,mid
241,maya,infinite,11,5,-3,1,,distance
242,myth,infinite,2,3,0,2,,putter
243,pharaoh,infinite,13,6,-1,2,,distance
244,ra,infinite,5,4,0,2.5,,mid
245,ruin,infinite,3,3,0,3,,putter
246,scarab,infinite,2,4,0,1,,putter
247,scepter,infinite,9,4,0,4,,distance
248,slab,infinite,12,3,0,4,,distance
249,sphinx,infinite,9,6,-3,1,,distance
250,tomb,infinite,3,4,0,1,,putter
251,aero,innova,3,6,0,0,,putter
252,animal,innova,2,1,0,1,,putter
253,ape,innova,13,5,0,4,,distance
254,archangel,innova,8,6,-4,1,,fairway
255,archon,innova,11,5,-2,2,,distance
256,atlas,innova,5,4,0,1,,mid
257,avatar,innova,5,4,0,2,,mid
258,aviar,innova,2,3,0,1,,putter
259,aviar driver,innova,2,3,0,2,,putter
260,aviar-x,innova,2,3,0,2,,putter
261,aviar3,innova,3,2,0,2,,putter
262,aviarx3,innova,3,2,0,3,,putter
263,banshee,innova,7,3,0,3,,fairway
264,beast,innova,10,5,-2,2,,distance
265,birdie,innova,1,2,0,0,,putter
266,boss,innova,13,5,-1,3,,distance
267,bullfrog,innova,3,1,0,1,,putter
268,caiman,innova,5.5,2,0,4,,mid
269,cheetah,innova,6,4,-2,2,,fairway
270,classic aviar,innova,2,3,0,0,,putter
271,cobra,innova,4,5,-2,2,,mid
272,colossus,innova,14,5,-1,3,,distance
273,colt,innova,3,4,-1,1,,putter
274,corvette,innova,14,6,-1,2,,distance
275,coyote,innova,4,5,0,1,,mid
276,cro,innova,5,3,0,2,,mid
277,daedalus,innova,13,6,-3,2,,distance
278,dark rebel,innova,7,6,-1,1,,fairway
279,dart,innova,3,4,0,0,,putter
280,destroyer,innova,12,5,-1,3,,distance
281,dominator,innova,13,5,-1,2,,distance
282,dragon,innova,8,5,-2,2,,fairway
283,eagle,innova,7,4,-1,3,,fairway
284,firebird,innova,9,3,0,4,,distance
285,firefly,innova,2,3,0,1,,putter
286,firestorm,innova,14,4,-1,3,,distance
287,fl,innova,9,3,0,2,,distance
288,foxbat,innova,5,6,-1,0,,mid
289,gator,innova,5,2,0,4,,mid
290,gazelle,innova,6,4,0,2,,fairway
291,groove,innova,12,6,-2,2,,distance
292,hawkeye,innova,7,5,-1,1,,fairway
293,hydra,innova,3,3,0,2,,putter
294,invader,innova,3,2,0,1,,putter
295,invictus,innova,10,4,0,3,,distance
296,jk aviar,innova,2,3,0,2,,putter
297,katana,innova,12,5,-3,3,,distance
298,kc aviar,innova,2,3,0,2,,putter
299,king cobra,innova,4,5,0,2,,mid
300,kite,innova,5,6,-3,1,,mid
301,krait,innova,11,5,-1,2,,distance
302,leopard,innova,6,5,-2,1,,fairway
303,leopard3,innova,7,5,-2,1,,fairway
304,lion,innova,5,4,0,2,,mid
305,mako,innova,4,5,0,0,,mid
306,mako3,innova,5,5,0,0,,mid
307,mamba,innova,11,6,-5,1,,distance
308,manta,innova,5,5,-2,1,,mid
309,max,innova,11,3,0,5,,distance
310,mirage,innova,3,4,-3,0,,putter
311,monarch,innova,10,5,-4,1,,distance
312,monster,innova,10,3,0,5,,distance
313,mystere,innova,11,6,-2,2,,distance
314,nova,innova,2,3,0,0,,putter
315,orc,innova,10,4,-1,3,,distance
316,panther,innova,5,4,-2,1,,mid
317,phantom sword,innova,10,4,0,3,,distance
318,pig,innova,3,1,0,3,,putter
319,polecat,innova,1,3,0,0,,putter
320,rat,innova,4,2,0,2,,mid
321,rhyno,innova,2,1,0,3,,putter
322,rhynox,innova,2,1,0,4,,putter
323,roadrunner,innova,9,5,-4,1,,distance
324,roc,innova,4,4,0,3,,mid
325,roc+,innova,4,5,0,2,,mid
